dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0069,69,feynman-ii.8.31,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.8.31,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pysr;tpsr,2,5,0
g0070,70,III.21.20_3_0,sim-datasets-data/llm-srbench/lsrtransform/III.21.20_3_0,llm-srbench,llm-srbench/lsrtransform,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0071,71,feynman-ii.36.38,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-ii.36.38,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0072,72,feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium/feynman-i.43.31,srsd,srsd/srsd-feynman_medium,strict,pysr,7,5,drsr;gplearn;llmsr;pysr;tpsr,2,5,0
g0073,73,feynman-i.43.31,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.43.31,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,5,drsr;gplearn;llmsr;pysr;tpsr,1,6,0
g0074,74,feynman-iii.4.32,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-iii.4.32,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0075,75,feynman-bonus.3,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.3,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0076,76,feynman-bonus.17,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.17,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0077,77,I.40.1_4_0,sim-datasets-data/llm-srbench/lsrtransform/I.40.1_4_0,llm-srbench,llm-srbench/lsrtransform,strict,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0078,78,III.21.20_2_0,sim-datasets-data/llm-srbench/lsrtransform/III.21.20_2_0,llm-srbench,llm-srbench/lsrtransform,strict,pysr,7,4,dso;llmsr;pysr;tpsr,2,5,0
g0079,79,I.11.19_5_0,sim-datasets-data/llm-srbench/lsrtransform/I.11.19_5_0,llm-srbench,llm-srbench/lsrtransform,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
